iter	RMSE
0	14.08663931
1	13.42595484
2	12.74868419
3	12.06789951
4	11.45824797
5	10.9593781
6	10.5339244
7	10.11023005
8	9.696525747
9	9.3467924
10	9.039899393
11	8.665319371
12	8.339499864
13	8.083581575
14	7.809592419
15	7.527756986
16	7.306227044
17	7.106739518
18	6.884511748
19	6.702084215
20	6.563116733
21	6.427517156
22	6.268618429
23	6.145070177
24	6.01191231
25	5.894883013
26	5.792999475
27	5.76365878
28	5.69422321
29	5.588944547
30	5.502165388
31	5.443050714
32	5.394594281
33	5.334380196
34	5.278607399
35	5.229235666
36	5.201798169
37	5.153639702
38	5.10947677
39	5.070401746
40	5.003520494
41	4.969017106
42	4.928148488
43	4.900273523
44	4.850258668
45	4.810154004
46	4.764818908
47	4.715812361
48	4.690145906
49	4.666436138
50	4.624871468
51	4.59813275
52	4.563994823
53	4.524659939
54	4.470576055
55	4.452020376
56	4.424907938
57	4.410521361
58	4.365988189
59	4.349987733
60	4.321356491
61	4.304169703
62	4.285003122
63	4.255839587
64	4.226922528
65	4.220085232
66	4.200215132
67	4.177131071
68	4.171310202
69	4.152958446
70	4.147202076
71	4.133905225
72	4.095281253
73	4.065120431
74	4.04448476
75	4.030426728
76	4.008319728
77	3.97715423
78	3.945579971
79	3.924082369
80	3.901614155
81	3.890321971
82	3.873443509
83	3.858451907
84	3.847667408
85	3.833807192
86	3.820503781
87	3.803654161
88	3.789688553
89	3.787983952
90	3.759306752
91	3.746874898
92	3.732353397
93	3.715443454
94	3.703106427
95	3.694519829
96	3.688338935
97	3.680378282
98	3.648635028
99	3.628516185
